"type","element1","type1","charge1","ind11","inda1","logp1","lumo1","element2","type2","charge2","ind12","inda2","logp2","lumo2","Class"
7,"c",22,-0.118,1,0,4.69,-1.487,"c",22,-0.118,1,0,4.69,-1.487,"yes"
7,"c",22,-0.118,1,0,4.69,-1.487,"c",27,0.012,1,0,4.69,-1.487,"yes"
1,"c",22,-0.118,1,0,4.69,-1.487,"h",3,0.141,1,0,4.69,-1.487,"yes"
7,"c",22,-0.118,1,0,4.69,-1.487,"c",22,-0.118,1,0,4.69,-1.487,"yes"
1,"c",22,-0.118,1,0,4.69,-1.487,"h",3,0.142,1,0,4.69,-1.487,"yes"
7,"c",22,-0.118,1,0,4.69,-1.487,"c",22,-0.118,1,0,4.69,-1.487,"yes"
1,"c",22,-0.118,1,0,4.69,-1.487,"n",38,0.811,1,0,4.69,-1.487,"yes"
7,"c",27,-0.088,1,0,4.69,-1.487,"c",27,-0.088,1,0,4.69,-1.487,"yes"
7,"c",22,-0.118,1,0,4.69,-1.487,"c",27,0.012,1,0,4.69,-1.487,"yes"
1,"c",22,-0.118,1,0,4.69,-1.487,"h",3,0.142,1,0,4.69,-1.487,"yes"
1,"c",22,-0.122,1,0,6.26,-1.546,"n",38,0.808,1,0,6.26,-1.546,"yes"
2,"n",38,0.808,1,0,6.26,-1.546,"o",40,-0.392,1,0,6.26,-1.546,"yes"
1,"c",22,-0.122,1,0,6.26,-1.546,"h",3,0.138,1,0,6.26,-1.546,"yes"
1,"c",22,-0.121,1,0,6.26,-1.546,"h",3,0.138,1,0,6.26,-1.546,"yes"
1,"c",10,-0.091,1,0,6.26,-1.546,"h",3,0.059,1,0,6.26,-1.546,"yes"
1,"c",10,-0.091,1,0,6.26,-1.546,"h",3,0.059,1,0,6.26,-1.546,"yes"
1,"c",10,-0.091,1,0,6.26,-1.546,"h",3,0.059,1,0,6.26,-1.546,"yes"
1,"c",10,-0.091,1,0,6.26,-1.546,"h",3,0.059,1,0,6.26,-1.546,"yes"
7,"c",27,0.009,1,0,6.26,-1.546,"c",27,-0.091,1,0,6.26,-1.546,"yes"
7,"c",27,-0.091,1,0,6.26,-1.546,"c",27,0.009,1,0,6.26,-1.546,"yes"
7,"c",27,0.009,1,0,6.26,-1.546,"c",22,-0.122,1,0,6.26,-1.546,"yes"
7,"c",27,-0.054,1,0,1.84,-1.749,"c",27,-0.054,1,0,1.84,-1.749,"yes"
7,"c",27,-0.054,1,0,1.84,-1.749,"c",22,-0.084,1,0,1.84,-1.749,"yes"
7,"c",22,-0.084,1,0,1.84,-1.749,"c",22,0.296,1,0,1.84,-1.749,"yes"
2,"n",38,0.845,1,0,1.84,-1.749,"o",40,-0.354,1,0,1.84,-1.749,"yes"
7,"c",22,-0.084,1,0,1.84,-1.749,"c",27,-0.054,1,0,1.84,-1.749,"yes"
7,"c",27,-0.054,1,0,1.84,-1.749,"c",27,0.046,1,0,1.84,-1.749,"yes"
1,"c",22,-0.084,1,0,1.84,-1.749,"h",3,0.176,1,0,1.84,-1.749,"yes"
7,"c",22,-0.119,1,0,4.34,-1.607,"c",22,-0.119,1,0,4.34,-1.607,"yes"
1,"c",22,-0.119,1,0,4.34,-1.607,"h",3,0.142,1,0,4.34,-1.607,"yes"
1,"c",22,-0.119,1,0,4.34,-1.607,"h",3,0.142,1,0,4.34,-1.607,"yes"
1,"c",22,-0.119,1,0,4.34,-1.607,"h",3,0.142,1,0,4.34,-1.607,"yes"
1,"c",22,-0.119,1,0,4.34,-1.607,"n",38,0.812,1,0,4.34,-1.607,"yes"
1,"c",22,0.262,1,0,4.34,-1.607,"o",45,-0.638,1,0,4.34,-1.607,"yes"
2,"n",38,0.812,1,0,4.34,-1.607,"o",40,-0.388,1,0,4.34,-1.607,"yes"
7,"c",22,-0.119,1,0,4.34,-1.607,"c",27,0.011,1,0,4.34,-1.607,"yes"
7,"c",27,-0.089,1,0,4.34,-1.607,"c",27,-0.089,1,0,4.34,-1.607,"yes"
7,"c",27,-0.089,1,0,4.34,-1.607,"c",27,0.011,1,0,4.34,-1.607,"yes"
7,"c",27,0.011,1,0,4.34,-1.607,"c",22,-0.119,1,0,4.34,-1.607,"yes"
7,"c",22,-0.115,1,0,4.18,-2.791,"c",22,-0.115,1,0,4.18,-2.791,"yes"
7,"c",28,0.015,1,0,4.18,-2.791,"c",28,0.015,1,0,4.18,-2.791,"yes"
7,"c",28,0.015,1,0,4.18,-2.791,"c",22,-0.115,1,0,4.18,-2.791,"yes"
1,"c",22,-0.115,1,0,4.18,-2.791,"h",3,0.145,1,0,4.18,-2.791,"yes"
1,"c",22,-0.115,1,0,4.18,-2.791,"h",3,0.145,1,0,4.18,-2.791,"yes"
1,"c",22,-0.115,1,0,4.18,-2.791,"n",38,0.816,1,0,4.18,-2.791,"yes"
2,"n",38,0.816,1,0,4.18,-2.791,"o",40,-0.384,1,0,4.18,-2.791,"yes"
2,"n",38,0.816,1,0,4.18,-2.791,"o",40,-0.384,1,0,4.18,-2.791,"yes"
7,"c",29,0.015,1,0,4.18,-2.791,"c",27,-0.085,1,0,4.18,-2.791,"yes"
1,"c",28,0.015,1,0,4.18,-2.791,"c",28,0.015,1,0,4.18,-2.791,"yes"
7,"c",28,0.015,1,0,4.18,-2.791,"c",22,-0.115,1,0,4.18,-2.791,"yes"
1,"c",22,-0.115,1,0,4.18,-2.791,"h",3,0.145,1,0,4.18,-2.791,"yes"
7,"c",27,0.015,1,0,4.18,-2.791,"c",22,-0.115,1,0,4.18,-2.791,"yes"
7,"c",22,-0.122,1,0,4.69,-1.676,"c",22,-0.122,1,0,4.69,-1.676,"yes"
7,"c",22,-0.122,1,0,4.69,-1.676,"c",29,0.008,1,0,4.69,-1.676,"yes"
1,"c",22,-0.122,1,0,4.69,-1.676,"h",3,0.138,1,0,4.69,-1.676,"yes"
7,"c",22,-0.122,1,0,4.69,-1.676,"c",22,-0.122,1,0,4.69,-1.676,"yes"
7,"c",22,-0.122,1,0,4.69,-1.676,"c",22,-0.122,1,0,4.69,-1.676,"yes"
1,"c",22,-0.122,1,0,4.69,-1.676,"h",3,0.138,1,0,4.69,-1.676,"yes"
1,"c",22,-0.122,1,0,4.69,-1.676,"h",3,0.138,1,0,4.69,-1.676,"yes"
1,"c",22,-0.122,1,0,4.69,-1.676,"h",3,0.138,1,0,4.69,-1.676,"yes"
1,"c",22,-0.122,1,0,4.69,-1.676,"n",38,0.809,1,0,4.69,-1.676,"yes"
2,"n",38,0.809,1,0,4.69,-1.676,"o",40,-0.391,1,0,4.69,-1.676,"yes"
2,"n",38,0.809,1,0,4.69,-1.676,"o",40,-0.391,1,0,4.69,-1.676,"yes"
7,"c",27,0.008,1,0,4.69,-1.676,"c",27,-0.092,1,0,4.69,-1.676,"yes"
1,"c",28,0.008,1,0,4.69,-1.676,"c",28,0.008,1,0,4.69,-1.676,"yes"
7,"c",28,0.008,1,0,4.69,-1.676,"c",22,-0.122,1,0,4.69,-1.676,"yes"
1,"c",22,-0.122,1,0,4.69,-1.676,"h",3,0.139,1,0,4.69,-1.676,"yes"
7,"c",27,-0.083,1,0,6.07,-2.284,"c",27,-0.083,1,0,6.07,-2.284,"yes"
7,"c",22,-0.113,1,0,6.07,-2.284,"c",27,0.017,1,0,6.07,-2.284,"yes"
7,"c",27,0.017,1,0,6.07,-2.284,"c",22,-0.113,1,0,6.07,-2.284,"yes"
7,"c",27,0.017,1,0,6.07,-2.284,"c",22,-0.113,1,0,6.07,-2.284,"yes"
7,"c",22,-0.113,1,0,6.07,-2.284,"c",22,-0.113,1,0,6.07,-2.284,"yes"
1,"c",22,-0.113,1,0,6.07,-2.284,"n",38,0.818,1,0,6.07,-2.284,"yes"
1,"c",22,-0.113,1,0,6.07,-2.284,"n",38,0.818,1,0,6.07,-2.284,"yes"
2,"n",38,0.818,1,0,6.07,-2.284,"o",40,-0.382,1,0,6.07,-2.284,"yes"
2,"n",38,0.818,1,0,6.07,-2.284,"o",40,-0.382,1,0,6.07,-2.284,"yes"
2,"n",38,0.818,1,0,6.07,-2.284,"o",40,-0.382,1,0,6.07,-2.284,"yes"
1,"c",22,-0.113,1,0,6.07,-2.284,"h",3,0.148,1,0,6.07,-2.284,"yes"
1,"c",22,-0.113,1,0,6.07,-2.284,"h",3,0.148,1,0,6.07,-2.284,"yes"
7,"c",22,-0.113,1,0,6.07,-2.284,"c",27,0.017,1,0,6.07,-2.284,"yes"
7,"c",27,-0.083,1,0,6.07,-2.284,"c",27,-0.083,1,0,6.07,-2.284,"yes"
7,"c",22,-0.117,1,0,4.23,-1.254,"c",22,-0.117,1,0,4.23,-1.254,"yes"
1,"c",22,-0.117,1,0,4.23,-1.254,"h",3,0.142,1,0,4.23,-1.254,"yes"
7,"c",22,-0.117,1,0,4.23,-1.254,"c",22,-0.117,1,0,4.23,-1.254,"yes"
7,"c",22,-0.117,1,0,4.23,-1.254,"c",22,-0.117,1,0,4.23,-1.254,"yes"
7,"c",22,-0.117,1,0,4.23,-1.254,"c",22,-0.117,1,0,4.23,-1.254,"yes"
7,"c",22,-0.117,1,0,4.23,-1.254,"c",22,-0.117,1,0,4.23,-1.254,"yes"
1,"c",22,-0.117,1,0,4.23,-1.254,"h",3,0.142,1,0,4.23,-1.254,"yes"
1,"c",22,-0.117,1,0,4.23,-1.254,"h",3,0.143,1,0,4.23,-1.254,"yes"
1,"c",22,-0.117,1,0,4.23,-1.254,"h",3,0.142,1,0,4.23,-1.254,"yes"
7,"c",22,-0.117,1,0,4.23,-1.254,"c",195,-0.087,1,0,4.23,-1.254,"yes"
7,"c",195,0.013,1,0,4.23,-1.254,"c",22,-0.117,1,0,4.23,-1.254,"yes"
1,"c",22,-0.117,1,0,4.23,-1.254,"h",3,0.143,1,0,4.23,-1.254,"yes"
1,"c",22,-0.117,1,0,4.23,-1.254,"h",3,0.142,1,0,4.23,-1.254,"yes"
7,"c",29,0.017,0,0,3,-2.14,"c",22,-0.113,0,0,3,-2.14,"no"
7,"c",22,-0.113,0,0,3,-2.14,"c",22,-0.113,0,0,3,-2.14,"no"
7,"c",22,-0.113,0,0,3,-2.14,"c",22,-0.113,0,0,3,-2.14,"no"
7,"c",22,-0.113,0,0,3,-2.14,"c",22,-0.113,0,0,3,-2.14,"no"
7,"c",22,-0.113,0,0,3,-2.14,"c",22,-0.113,0,0,3,-2.14,"no"
7,"c",22,-0.113,0,0,3,-2.14,"c",22,-0.113,0,0,3,-2.14,"no"
1,"c",22,-0.113,0,0,3,-2.14,"n",38,0.818,0,0,3,-2.14,"no"
2,"n",38,0.818,0,0,3,-2.14,"o",40,-0.383,0,0,3,-2.14,"no"
2,"n",38,0.818,0,0,3,-2.14,"o",40,-0.382,0,0,3,-2.14,"no"
1,"c",22,0.008,0,0,1.56,-1.687,"c",14,0.238,0,0,1.56,-1.687,"no"
1,"c",14,0.238,0,0,1.56,-1.687,"h",3,0.208,0,0,1.56,-1.687,"no"
2,"n",38,0.809,0,0,1.56,-1.687,"o",40,-0.392,0,0,1.56,-1.687,"no"
2,"n",38,0.809,0,0,1.56,-1.687,"o",40,-0.392,0,0,1.56,-1.687,"no"
7,"c",22,-0.122,0,0,1.56,-1.687,"c",22,-0.122,0,0,1.56,-1.687,"no"
7,"c",22,-0.122,0,0,1.56,-1.687,"c",22,-0.122,0,0,1.56,-1.687,"no"
7,"c",22,-0.122,0,0,1.56,-1.687,"c",22,-0.122,0,0,1.56,-1.687,"no"
7,"c",22,-0.122,0,0,1.56,-1.687,"c",22,0.008,0,0,1.56,-1.687,"no"
1,"c",22,-0.122,0,0,1.56,-1.687,"h",3,0.138,0,0,1.56,-1.687,"no"
7,"c",22,-0.125,1,0,3.81,-1.208,"c",22,-0.124,1,0,3.81,-1.208,"yes"
7,"c",22,-0.124,1,0,3.81,-1.208,"c",22,-0.125,1,0,3.81,-1.208,"yes"
7,"c",22,-0.125,1,0,3.81,-1.208,"c",22,0.005,1,0,3.81,-1.208,"yes"
1,"c",10,-0.095,1,0,3.81,-1.208,"c",10,-0.095,1,0,3.81,-1.208,"yes"
1,"c",10,-0.095,1,0,3.81,-1.208,"h",3,0.055,1,0,3.81,-1.208,"yes"
1,"c",10,-0.095,1,0,3.81,-1.208,"h",3,0.055,1,0,3.81,-1.208,"yes"
1,"c",10,-0.095,1,0,3.81,-1.208,"h",3,0.055,1,0,3.81,-1.208,"yes"
1,"c",22,-0.125,1,0,3.81,-1.208,"n",38,0.806,1,0,3.81,-1.208,"yes"
2,"n",38,0.806,1,0,3.81,-1.208,"o",40,-0.394,1,0,3.81,-1.208,"yes"
7,"c",22,0.005,1,0,3.81,-1.208,"c",22,-0.124,1,0,3.81,-1.208,"yes"
1,"c",22,-0.124,1,0,3.81,-1.208,"h",3,0.136,1,0,3.81,-1.208,"yes"
2,"n",38,0.81,0,0,1.84,-1.491,"o",40,-0.39,0,0,1.84,-1.491,"no"
2,"n",38,0.81,0,0,1.84,-1.491,"o",40,-0.39,0,0,1.84,-1.491,"no"
1,"n",32,-0.77,0,0,1.84,-1.491,"h",1,0.34,0,0,1.84,-1.491,"no"
7,"c",22,-0.12,0,0,1.84,-1.491,"c",22,-0.12,0,0,1.84,-1.491,"no"
7,"c",22,-0.12,0,0,1.84,-1.491,"c",22,0.21,0,0,1.84,-1.491,"no"
7,"c",22,0.21,0,0,1.84,-1.491,"c",22,-0.12,0,0,1.84,-1.491,"no"
1,"c",22,-0.12,0,0,1.84,-1.491,"h",3,0.14,0,0,1.84,-1.491,"no"
1,"c",22,-0.128,0,0,2.68,-1.148,"h",3,0.132,0,0,2.68,-1.148,"no"
7,"c",29,0.002,0,0,2.68,-1.148,"c",22,-0.128,0,0,2.68,-1.148,"no"
7,"c",22,-0.128,0,0,2.68,-1.148,"c",22,-0.128,0,0,2.68,-1.148,"no"
1,"c",22,-0.128,0,0,2.68,-1.148,"h",3,0.132,0,0,2.68,-1.148,"no"
1,"c",22,-0.128,0,0,2.68,-1.148,"h",3,0.132,0,0,2.68,-1.148,"no"
1,"c",22,0.202,0,0,2.68,-1.148,"n",32,-0.779,0,0,2.68,-1.148,"no"
2,"n",38,0.801,0,0,2.68,-1.148,"o",40,-0.398,0,0,2.68,-1.148,"no"
7,"c",22,-0.128,0,0,2.68,-1.148,"c",22,-0.128,0,0,2.68,-1.148,"no"
1,"c",22,-0.128,0,0,2.68,-1.148,"h",3,0.132,0,0,2.68,-1.148,"no"
7,"c",22,-0.122,0,0,2.74,-1.161,"c",22,-0.122,0,0,2.74,-1.161,"yes"
1,"c",22,-0.122,0,0,2.74,-1.161,"c",10,0.108,0,0,2.74,-1.161,"yes"
1,"c",10,0.108,0,0,2.74,-1.161,"c",16,-0.191,0,0,2.74,-1.161,"yes"
2,"c",16,-0.191,0,0,2.74,-1.161,"c",16,-0.191,0,0,2.74,-1.161,"yes"
1,"c",10,0.108,0,0,2.74,-1.161,"h",3,0.058,0,0,2.74,-1.161,"yes"
1,"c",10,0.108,0,0,2.74,-1.161,"h",3,0.058,0,0,2.74,-1.161,"yes"
1,"c",22,0.108,0,0,2.74,-1.161,"c",16,-0.191,0,0,2.74,-1.161,"yes"
2,"n",38,0.809,0,0,2.74,-1.161,"o",40,-0.391,0,0,2.74,-1.161,"yes"
7,"c",22,-0.122,0,0,2.74,-1.161,"c",22,0.108,0,0,2.74,-1.161,"yes"
2,"n",38,0.81,0,0,1.8,-1.37,"o",40,-0.39,0,0,1.8,-1.37,"no"
7,"c",22,0.31,0,0,1.8,-1.37,"c",22,-0.121,0,0,1.8,-1.37,"no"
7,"c",22,-0.121,0,0,1.8,-1.37,"c",22,-0.121,0,0,1.8,-1.37,"no"
1,"c",22,-0.121,0,0,1.8,-1.37,"h",3,0.139,0,0,1.8,-1.37,"no"
1,"c",22,-0.121,0,0,1.8,-1.37,"h",3,0.139,0,0,1.8,-1.37,"no"
1,"c",22,-0.116,0,0,3.26,-2.142,"h",3,0.144,0,0,3.26,-2.142,"yes"
1,"c",29,0.014,0,0,3.26,-2.142,"c",29,0.014,0,0,3.26,-2.142,"yes"
7,"c",22,-0.116,0,0,3.26,-2.142,"c",22,-0.116,0,0,3.26,-2.142,"yes"
7,"c",22,-0.116,0,0,3.26,-2.142,"c",22,-0.116,0,0,3.26,-2.142,"yes"
1,"c",22,-0.116,0,0,3.26,-2.142,"h",3,0.144,0,0,3.26,-2.142,"yes"
1,"c",22,-0.116,0,0,3.26,-2.142,"h",3,0.144,0,0,3.26,-2.142,"yes"
1,"c",22,-0.116,0,0,3.26,-2.142,"n",38,0.813,0,0,3.26,-2.142,"yes"
1,"c",22,-0.116,0,0,3.26,-2.142,"n",38,0.814,0,0,3.26,-2.142,"yes"
2,"n",38,0.813,0,0,3.26,-2.142,"o",40,-0.386,0,0,3.26,-2.142,"yes"
2,"n",38,0.813,0,0,3.26,-2.142,"o",40,-0.386,0,0,3.26,-2.142,"yes"
2,"n",38,0.813,0,0,3.26,-2.142,"o",40,-0.386,0,0,3.26,-2.142,"yes"
7,"c",22,-0.116,0,0,3.26,-2.142,"c",22,-0.116,0,0,3.26,-2.142,"yes"
1,"c",22,-0.116,0,0,3.26,-2.142,"h",3,0.144,0,0,3.26,-2.142,"yes"
1,"c",22,-0.116,0,0,3.26,-2.142,"h",3,0.144,0,0,3.26,-2.142,"yes"
7,"c",22,-0.121,1,0,6.57,-1.8,"c",27,0.009,1,0,6.57,-1.8,"yes"
7,"c",22,-0.121,1,0,6.57,-1.8,"c",22,-0.122,1,0,6.57,-1.8,"yes"
7,"c",22,-0.121,1,0,6.57,-1.8,"c",27,0.009,1,0,6.57,-1.8,"yes"
1,"c",10,-0.091,1,0,6.57,-1.8,"c",10,-0.091,1,0,6.57,-1.8,"yes"
1,"c",22,-0.121,1,0,6.57,-1.8,"h",3,0.138,1,0,6.57,-1.8,"yes"
1,"c",22,-0.121,1,0,6.57,-1.8,"h",3,0.138,1,0,6.57,-1.8,"yes"
1,"c",22,-0.121,1,0,6.57,-1.8,"h",3,0.138,1,0,6.57,-1.8,"yes"
1,"c",10,-0.091,1,0,6.57,-1.8,"c",22,0.009,1,0,6.57,-1.8,"yes"
1,"c",10,-0.091,1,0,6.57,-1.8,"h",3,0.059,1,0,6.57,-1.8,"yes"
1,"c",10,-0.091,1,0,6.57,-1.8,"h",3,0.059,1,0,6.57,-1.8,"yes"
1,"c",10,-0.091,1,0,6.57,-1.8,"h",3,0.059,1,0,6.57,-1.8,"yes"
1,"c",10,-0.091,1,0,6.57,-1.8,"h",3,0.059,1,0,6.57,-1.8,"yes"
7,"c",27,0.009,1,0,6.57,-1.8,"c",22,0.009,1,0,6.57,-1.8,"yes"
1,"c",22,0.009,1,0,6.57,-1.8,"c",10,-0.091,1,0,6.57,-1.8,"yes"
7,"c",22,0.009,1,0,6.57,-1.8,"c",22,-0.122,1,0,6.57,-1.8,"yes"
7,"c",22,-0.122,1,0,6.57,-1.8,"c",27,0.009,1,0,6.57,-1.8,"yes"
7,"c",27,-0.091,1,0,6.57,-1.8,"c",27,-0.091,1,0,6.57,-1.8,"yes"
7,"c",22,-0.116,0,0,3.26,-1.995,"c",22,-0.116,0,0,3.26,-1.995,"no"
7,"c",22,-0.116,0,0,3.26,-1.995,"c",22,-0.116,0,0,3.26,-1.995,"no"
1,"c",22,-0.116,0,0,3.26,-1.995,"h",3,0.144,0,0,3.26,-1.995,"no"
1,"c",22,-0.116,0,0,3.26,-1.995,"h",3,0.144,0,0,3.26,-1.995,"no"
7,"c",22,-0.116,0,0,3.26,-1.995,"c",22,-0.116,0,0,3.26,-1.995,"no"
7,"c",22,-0.116,0,0,3.26,-1.995,"c",22,-0.116,0,0,3.26,-1.995,"no"
7,"c",22,-0.111,1,0,3.63,-1.627,"c",27,0.019,1,0,3.63,-1.627,"yes"
7,"c",27,-0.081,1,0,3.63,-1.627,"c",27,0.019,1,0,3.63,-1.627,"yes"
7,"c",22,-0.111,1,0,3.63,-1.627,"c",22,-0.111,1,0,3.63,-1.627,"yes"
1,"c",22,-0.111,1,0,3.63,-1.627,"h",3,0.15,1,0,3.63,-1.627,"yes"
1,"c",22,-0.111,1,0,3.63,-1.627,"h",3,0.149,1,0,3.63,-1.627,"yes"
1,"c",22,-0.111,1,0,3.63,-1.627,"h",3,0.149,1,0,3.63,-1.627,"yes"
7,"c",22,-0.111,1,0,3.63,-1.627,"c",22,-0.111,1,0,3.63,-1.627,"yes"
7,"c",27,0.019,1,0,3.63,-1.627,"c",22,-0.111,1,0,3.63,-1.627,"yes"
7,"c",22,-0.111,1,0,3.63,-1.627,"c",22,-0.111,1,0,3.63,-1.627,"yes"
1,"c",22,-0.111,1,0,3.63,-1.627,"n",32,-0.76,1,0,3.63,-1.627,"yes"
1,"n",38,0.82,1,0,3.63,-1.627,"c",22,-0.111,1,0,3.63,-1.627,"yes"
7,"c",27,0.019,1,0,3.63,-1.627,"c",22,-0.111,1,0,3.63,-1.627,"yes"
1,"c",22,-0.111,1,0,3.63,-1.627,"h",3,0.149,1,0,3.63,-1.627,"yes"
1,"c",22,-0.111,1,0,3.63,-1.627,"h",3,0.15,1,0,3.63,-1.627,"yes"
7,"c",27,-0.081,1,0,3.63,-1.627,"c",27,-0.081,1,0,3.63,-1.627,"yes"
7,"c",22,-0.107,0,0,1.77,-0.937,"c",22,-0.107,0,0,1.77,-0.937,"no"
1,"n",34,-0.517,0,0,1.77,-0.937,"c",10,0.113,0,0,1.77,-0.937,"no"
1,"c",21,-0.107,0,0,1.77,-0.937,"h",3,0.153,0,0,1.77,-0.937,"no"
1,"c",10,0.113,0,0,1.77,-0.937,"h",3,0.073,0,0,1.77,-0.937,"no"
1,"c",10,0.113,0,0,1.77,-0.937,"h",3,0.073,0,0,1.77,-0.937,"no"
7,"c",22,-0.107,0,0,1.77,-0.937,"c",22,-0.107,0,0,1.77,-0.937,"no"
7,"c",22,-0.107,0,0,1.77,-0.937,"c",26,0.323,0,0,1.77,-0.937,"no"
7,"c",22,-0.115,1,0,4.18,-2.68,"c",22,-0.115,1,0,4.18,-2.68,"yes"
7,"c",28,0.015,1,0,4.18,-2.68,"c",28,0.015,1,0,4.18,-2.68,"yes"
