"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","Class"
30,"blue-collar","single","basic.4y","unknown","yes","no","telephone","jun","tue",256,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
28,"blue-collar","single","basic.9y","no","yes","no","telephone","jun","wed",525,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
46,"management","divorced","high.school","no","no","no","cellular","nov","wed",499,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
31,"technician","single","unknown","no","yes","no","cellular","may","wed",84,1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
35,"services","married","high.school","unknown","yes","no","cellular","may","tue",31,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
38,"blue-collar","married","basic.9y","unknown","unknown","unknown","telephone","jun","fri",430,1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
45,"entrepreneur","divorced","professional.course","no","yes","no","cellular","jul","tue",211,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
32,"housemaid","married","basic.4y","no","yes","yes","cellular","may","fri",340,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
32,"admin.","married","university.degree","no","no","no","telephone","nov","thu",132,1,999,0,"nonexistent",-0.1,93.2,-42,4.592,5195.8,"no"
29,"admin.","single","basic.9y","no","no","no","cellular","may","mon",79,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
33,"blue-collar","married","basic.9y","no","yes","no","cellular","may","thu",263,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
24,"technician","married","university.degree","no","yes","yes","cellular","sep","tue",89,2,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"yes"
58,"entrepreneur","divorced","university.degree","no","no","no","telephone","jun","thu",40,2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
31,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",113,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
27,"admin.","married","university.degree","no","no","no","telephone","may","wed",191,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
60,"admin.","divorced","professional.course","no","yes","no","cellular","sep","wed",481,1,999,1,"failure",-1.1,94.199,-37.5,0.886,4963.6,"yes"
52,"admin.","married","unknown","no","yes","no","telephone","apr","wed",403,1,6,1,"success",-1.8,93.749,-34.6,0.654,5008.7,"yes"
46,"services","married","high.school","no","yes","no","cellular","apr","mon",180,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
42,"blue-collar","divorced","basic.6y","no","yes","no","cellular","may","wed",16,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
32,"blue-collar","married","basic.9y","no","no","no","cellular","nov","mon",1091,2,5,1,"success",-0.1,93.2,-42,4.191,5195.8,"yes"
39,"technician","single","professional.course","unknown","no","no","telephone","jun","mon",432,4,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"yes"
51,"services","married","high.school","unknown","yes","no","telephone","jul","mon",596,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes"
34,"management","married","university.degree","no","yes","no","cellular","may","wed",77,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
31,"admin.","single","university.degree","no","yes","no","telephone","jun","wed",357,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
38,"self-employed","single","university.degree","no","no","no","telephone","may","thu",459,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
41,"admin.","divorced","high.school","no","yes","no","telephone","jun","tue",204,2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
45,"admin.","single","university.degree","no","no","no","cellular","aug","thu",505,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes"
36,"blue-collar","married","basic.6y","no","yes","no","telephone","jul","wed",16,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
40,"unemployed","single","high.school","no","yes","no","cellular","jul","mon",300,5,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
38,"blue-collar","married","basic.9y","no","no","no","cellular","nov","tue",180,2,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
30,"blue-collar","single","basic.6y","no","yes","no","telephone","jul","tue",135,5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
43,"management","married","professional.course","no","no","no","cellular","nov","tue",257,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
52,"admin.","married","unknown","no","no","no","cellular","aug","tue",91,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
37,"services","married","high.school","no","yes","yes","cellular","may","thu",436,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
33,"services","single","basic.9y","no","yes","no","cellular","apr","thu",483,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no"
45,"services","married","high.school","unknown","yes","no","cellular","may","fri",250,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
44,"entrepreneur","married","professional.course","no","no","no","telephone","may","mon",259,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
47,"management","married","university.degree","no","yes","no","cellular","jul","wed",123,1,999,0,"nonexistent",-2.9,92.469,-33.6,1.029,5076.2,"no"
56,"management","married","university.degree","no","yes","yes","cellular","nov","wed",104,1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no"
41,"management","divorced","basic.6y","no","yes","no","cellular","nov","thu",147,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
53,"services","married","high.school","unknown","no","no","telephone","may","thu",203,4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
35,"blue-collar","divorced","basic.9y","no","yes","no","cellular","may","tue",523,1,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,"no"
28,"services","single","high.school","no","no","no","cellular","jul","wed",73,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
32,"blue-collar","married","basic.9y","no","yes","no","cellular","apr","thu",114,1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,"no"
50,"admin.","married","basic.9y","unknown","yes","no","cellular","aug","thu",122,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
75,"retired","married","basic.4y","no","no","no","cellular","apr","tue",109,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes"
33,"self-employed","divorced","unknown","no","no","no","telephone","may","wed",1161,4,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
45,"management","married","university.degree","no","yes","no","cellular","may","thu",239,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
41,"technician","married","professional.course","no","yes","no","cellular","aug","mon",984,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
37,"technician","divorced","professional.course","no","no","no","telephone","may","wed",374,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
33,"services","single","high.school","no","yes","no","telephone","may","fri",111,1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
41,"blue-collar","married","basic.9y","no","yes","no","cellular","apr","mon",148,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
31,"services","married","high.school","no","no","yes","cellular","nov","thu",49,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
31,"unemployed","single","university.degree","no","yes","no","cellular","jul","tue",309,1,6,3,"success",-1.7,94.215,-40.3,0.835,4991.6,"yes"
32,"technician","single","university.degree","no","yes","no","cellular","aug","wed",168,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
31,"blue-collar","married","basic.9y","no","no","no","cellular","jul","wed",152,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
46,"admin.","single","high.school","no","yes","no","cellular","nov","mon",199,2,999,2,"failure",-1.1,94.767,-50.8,1.048,4963.6,"no"
52,"services","divorced","high.school","unknown","no","no","cellular","nov","mon",190,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
45,"admin.","married","high.school","no","yes","no","cellular","oct","fri",738,3,6,1,"success",-1.1,94.601,-49.5,1.029,4963.6,"yes"
49,"services","married","high.school","no","yes","no","telephone","may","fri",344,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
46,"blue-collar","married","professional.course","no","no","no","cellular","nov","fri",383,1,999,0,"nonexistent",-1.1,94.767,-50.8,1.028,4963.6,"no"
38,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",35,6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
57,"services","married","professional.course","unknown","no","no","cellular","aug","mon",153,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
47,"technician","married","university.degree","no","yes","no","cellular","aug","wed",345,7,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
40,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","wed",951,2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
27,"admin.","single","unknown","no","no","no","cellular","mar","tue",128,1,3,1,"success",-1.8,93.369,-34.8,0.637,5008.7,"yes"
34,"management","married","university.degree","no","yes","yes","telephone","jun","wed",192,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"no"
51,"technician","married","unknown","no","yes","no","telephone","jun","fri",17,3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
42,"housemaid","married","basic.4y","unknown","yes","no","telephone","jun","fri",38,8,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
38,"technician","married","university.degree","no","yes","no","cellular","may","wed",147,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
32,"student","single","university.degree","no","no","no","cellular","nov","thu",151,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
46,"admin.","divorced","basic.9y","unknown","no","no","telephone","may","wed",423,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
42,"self-employed","married","university.degree","no","yes","no","cellular","nov","fri",888,3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
55,"services","married","basic.9y","no","no","no","cellular","aug","wed",76,13,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
35,"management","married","university.degree","no","yes","no","cellular","nov","wed",265,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
46,"services","married","professional.course","no","yes","no","telephone","may","tue",273,4,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
30,"blue-collar","married","unknown","no","no","no","telephone","may","wed",85,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"entrepreneur","married","university.degree","unknown","yes","no","cellular","jul","tue",261,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
32,"technician","married","professional.course","no","no","no","cellular","jul","tue",711,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
28,"admin.","married","university.degree","no","no","no","cellular","may","tue",72,3,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
24,"services","single","university.degree","no","no","no","cellular","jul","thu",113,6,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
43,"management","married","university.degree","unknown","yes","yes","cellular","apr","fri",307,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
30,"admin.","single","university.degree","no","yes","no","cellular","aug","mon",39,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
55,"blue-collar","married","basic.9y","unknown","no","no","cellular","nov","tue",63,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
51,"retired","married","basic.9y","unknown","no","no","cellular","jul","fri",64,1,999,0,"nonexistent",1.4,93.918,-42.7,4.959,5228.1,"no"
52,"blue-collar","divorced","unknown","no","no","no","cellular","jul","tue",111,8,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
59,"retired","married","basic.4y","no","no","no","telephone","apr","tue",353,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.453,5099.1,"no"
76,"retired","single","basic.4y","no","no","no","cellular","nov","mon",347,4,6,1,"success",-3.4,92.649,-30.1,0.715,5017.5,"yes"
30,"blue-collar","married","unknown","no","no","no","telephone","may","fri",85,2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
41,"unemployed","married","unknown","no","no","no","telephone","jun","fri",280,3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
33,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",686,4,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"yes"
28,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","mon",225,3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
53,"services","married","high.school","unknown","yes","no","cellular","aug","thu",76,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
41,"services","married","high.school","no","no","no","cellular","mar","wed",377,6,999,0,"nonexistent",-1.8,92.843,-50,1.778,5099.1,"yes"
55,"unknown","married","basic.4y","no","no","yes","cellular","jul","thu",185,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
35,"technician","married","professional.course","no","no","no","cellular","jul","thu",126,4,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
53,"management","married","university.degree","no","no","no","cellular","aug","mon",313,4,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
45,"blue-collar","divorced","basic.6y","unknown","yes","no","cellular","may","thu",219,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
44,"admin.","married","high.school","no","no","no","telephone","may","wed",228,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
36,"admin.","married","university.degree","no","yes","no","cellular","sep","fri",355,1,999,0,"nonexistent",-3.4,92.379,-29.8,0.773,5017.5,"no"
40,"management","married","unknown","no","no","no","telephone","may","fri",97,3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
25,"technician","single","university.degree","no","yes","yes","telephone","jun","mon",35,6,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
29,"management","married","university.degree","no","yes","yes","cellular","aug","tue",116,2,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
44,"admin.","married","high.school","no","no","no","telephone","may","wed",83,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
30,"admin.","single","high.school","no","yes","no","cellular","jul","wed",605,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
57,"technician","married","basic.9y","no","no","no","cellular","jul","tue",94,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
32,"technician","married","professional.course","no","yes","no","cellular","jul","thu",255,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes"
54,"admin.","married","professional.course","no","no","no","cellular","nov","tue",1868,2,10,1,"success",-1.1,94.767,-50.8,1.035,4963.6,"yes"
58,"blue-collar","married","basic.9y","no","yes","no","cellular","aug","mon",846,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"yes"
29,"admin.","single","university.degree","unknown","yes","no","cellular","aug","tue",158,5,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
42,"blue-collar","married","basic.4y","no","no","no","telephone","may","wed",51,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
48,"housemaid","married","high.school","no","no","no","telephone","jun","tue",87,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
35,"admin.","single","university.degree","no","no","no","cellular","aug","mon",167,2,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
57,"retired","unknown","basic.4y","no","no","no","telephone","may","tue",673,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,"services","married","high.school","unknown","yes","no","telephone","may","tue",309,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
42,"blue-collar","married","basic.4y","unknown","no","no","telephone","jun","thu",236,1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
27,"student","single","basic.9y","no","yes","no","cellular","aug","wed",111,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.9,4991.6,"no"
23,"entrepreneur","married","university.degree","no","yes","no","cellular","aug","thu",87,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
43,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","tue",193,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
26,"housemaid","single","high.school","unknown","yes","yes","telephone","jul","thu",127,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
24,"blue-collar","married","basic.9y","no","yes","yes","telephone","may","fri",101,6,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
35,"blue-collar","single","basic.6y","no","no","no","cellular","nov","thu",370,1,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,"no"
59,"technician","married","professional.course","no","no","no","cellular","jun","thu",1207,4,999,1,"failure",-1.7,94.055,-39.8,0.742,4991.6,"yes"
28,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","thu",262,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
37,"blue-collar","single","basic.9y","no","no","no","telephone","may","wed",211,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
40,"management","married","university.degree","no","yes","no","cellular","may","tue",459,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
29,"admin.","single","university.degree","no","yes","yes","telephone","may","wed",266,2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
28,"blue-collar","single","basic.9y","no","yes","no","cellular","may","thu",225,1,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
48,"technician","single","unknown","unknown","no","no","telephone","may","thu",257,7,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
57,"retired","married","basic.9y","no","no","no","cellular","aug","tue",388,4,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
24,"admin.","single","high.school","unknown","yes","no","telephone","jul","thu",15,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
25,"admin.","single","university.degree","no","no","no","telephone","jun","wed",188,2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
36,"blue-collar","married","basic.9y","unknown","no","no","cellular","may","wed",951,3,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"yes"
48,"admin.","married","university.degree","no","yes","no","cellular","nov","wed",288,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
30,"technician","married","university.degree","unknown","yes","no","telephone","may","wed",72,3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
28,"blue-collar","single","high.school","no","yes","no","telephone","jun","mon",102,2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
30,"admin.","married","university.degree","no","no","no","telephone","may","tue",178,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
38,"services","married","high.school","no","no","no","cellular","jul","thu",81,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
25,"admin.","married","university.degree","no","no","no","telephone","may","fri",56,1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
29,"admin.","single","university.degree","unknown","yes","no","cellular","may","fri",104,10,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
36,"admin.","single","university.degree","no","no","no","cellular","aug","wed",142,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
54,"admin.","married","university.degree","no","no","no","cellular","jul","thu",9,5,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
25,"self-employed","single","university.degree","no","no","no","telephone","may","tue",247,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
54,"management","married","university.degree","no","yes","no","cellular","apr","tue",336,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
42,"technician","married","high.school","no","yes","no","cellular","aug","tue",188,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
30,"services","married","basic.6y","no","no","no","cellular","nov","tue",154,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
24,"services","single","basic.9y","unknown","no","yes","telephone","jun","mon",222,2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
51,"unknown","married","unknown","unknown","yes","no","cellular","aug","fri",10,5,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
42,"blue-collar","married","basic.9y","no","no","no","cellular","may","tue",632,5,10,1,"success",-1.8,92.893,-46.2,1.344,5099.1,"no"
51,"self-employed","married","basic.4y","unknown","no","yes","telephone","may","wed",91,7,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
38,"blue-collar","married","high.school","unknown","no","no","cellular","jul","mon",90,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
45,"blue-collar","married","basic.4y","unknown","yes","yes","cellular","aug","mon",187,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
44,"admin.","married","university.degree","unknown","no","no","telephone","may","fri",165,6,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
52,"technician","married","basic.9y","no","yes","no","cellular","nov","fri",102,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
49,"admin.","married","university.degree","no","yes","no","telephone","may","mon",212,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
49,"technician","married","professional.course","no","yes","no","telephone","may","tue",57,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
52,"unknown","married","basic.6y","no","no","no","telephone","may","fri",54,4,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
30,"services","married","basic.9y","no","no","no","cellular","jul","tue",70,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
42,"blue-collar","married","basic.4y","no","no","no","telephone","may","wed",456,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
28,"admin.","married","high.school","no","yes","no","cellular","may","wed",293,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
52,"management","married","university.degree","unknown","yes","yes","cellular","aug","thu",118,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
23,"management","single","university.degree","no","yes","no","cellular","jul","tue",314,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
36,"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",167,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
43,"admin.","divorced","university.degree","unknown","no","no","cellular","aug","tue",111,2,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
36,"blue-collar","married","basic.9y","no","yes","no","cellular","jul","mon",80,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
47,"management","divorced","basic.4y","no","no","no","telephone","may","fri",241,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
31,"technician","single","professional.course","no","unknown","unknown","cellular","aug","mon",202,7,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
46,"entrepreneur","married","professional.course","unknown","no","no","telephone","jun","mon",88,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
35,"admin.","married","university.degree","no","no","no","cellular","may","thu",322,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,"no"
33,"admin.","single","high.school","no","yes","no","cellular","jul","tue",498,5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
43,"unemployed","married","basic.4y","no","no","no","cellular","may","wed",117,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
29,"technician","single","university.degree","no","no","no","cellular","may","mon",68,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
35,"admin.","divorced","high.school","no","yes","yes","telephone","may","mon",82,2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no"
35,"technician","single","university.degree","unknown","no","no","cellular","apr","mon",712,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
