"id","username","location","userop","quote","Class","date","reviewnospace","page","titleopinion"
"rn428631443","pamela c","Boulogne sur Gesse, France","66 reviews","Really extensive!","0","2016-10-17","The weather wasn't fantaststic but it didn,t spoil the enjoyment. You need your walking boots on as the whole area is massive. The lions of the fountain were a great favourite, apity that some of the structure was shrouded in coverings due to renovation work. You must get there early as only a limited number are allowed in a one time.",20,"Really extensive!. The weather wasn't fantaststic but it didn,t spoil the enjoyment. You need your walking boots on as the whole area is massive. The lions of the fountain were a great favourite, apity that some of the structure was shrouded in coverings due to renovation work. You must get there early as only a limited number are allowed in a one time."
"rn428501154","GandT11x","Newcastle, United Kingdom","18 reviews","Night time visit","0","2016-10-16","Went to Alhambra at night so gardens were closed, got in approximately 20:00, tour guide spoke very good English, very informative, amazing to see, great views and as was described a 'wonder of the world'!Some amazing history and very well restored, went as part of a trip so don't know how much it cost to enter.",20,"Night time visit. Went to Alhambra at night so gardens were closed, got in approximately 20:00, tour guide spoke very good English, very informative, amazing to see, great views and as was described a 'wonder of the world'!Some amazing history and very well restored, went as part of a trip so don't know how much it cost to enter."
"rn428478183","Aquaair","London, United Kingdom","35 reviews","WOW","1","2016-10-16","What an amazing place! Book your ticket in advance or you can risk for missing it, unless queuing from 6am.And allow it at least double time than the brochure says as average.Enjoy!",20,"WOW. What an amazing place! Book your ticket in advance or you can risk for missing it, unless queuing from 6am.And allow it at least double time than the brochure says as average.Enjoy!"
"rn428390935","barcelona504150","Burton upon Trent, United Kingdom","168 reviews","Incredibale","1","2016-10-16","I have wanted to see this for many years I made the 1 hour trip but I came out with the flu I am going back it really is incredible but allow 3 hours and take good walking shoes. But it is wonderful in the evening",21,"Incredibale. I have wanted to see this for many years I made the 1 hour trip but I came out with the flu I am going back it really is incredible but allow 3 hours and take good walking shoes. But it is wonderful in the evening"
"rn428196581","Jayne D","","5 reviews","What a Palace! !!","1","2016-10-15","Two words !!!! Awsome go !!! ..............Romantic peaceful magical amazing place to go it has to be on your bucket list",22,"What a Palace! !!. Two words !!!! Awsome go !!! ..............Romantic peaceful magical amazing place to go it has to be on your bucket list"
"rn428187221","carlostbird","Dallas, Texas","12 reviews","Historical don't miss","0","2016-10-15","This is a don't miss stop, but the crowds can be daunting. If you're like me and like to just travel and plan as you go, make sure you buy your tickets well in advance. (Hard to come by) This apparently is the 3rd most visited sight in Europe I recommend the first tour in the AM to avoid some crowds. The bus up to the Alhambra is 45 minutes and just a 15 min walk down to the center of town. So ditch the return and walk back if you can.",22,"Historical don't miss. This is a don't miss stop, but the crowds can be daunting. If you're like me and like to just travel and plan as you go, make sure you buy your tickets well in advance. (Hard to come by) This apparently is the 3rd most visited sight in Europe I recommend the first tour in the AM to avoid some crowds. The bus up to the Alhambra is 45 minutes and just a 15 min walk down to the center of town. So ditch the return and walk back if you can."
"rn427893211","Ravi G","Lagos, Nigeria","32 reviews","Very beautiful but difficult with small kids","0","2016-10-14","Alhambra is such a beautiful place with great historical background. The views of Albaicin City are just so good. The carving inside the rooms is so beautiful. Very impressive place. But it is not recommended for people with kids, specially with baby trolleys. Many places trolleys are not allowed &amp; one has to carry the kids up &amp; down the staircases. Check before you go there.",22,"Very beautiful but difficult with small kids. Alhambra is such a beautiful place with great historical background. The views of Albaicin City are just so good. The carving inside the rooms is so beautiful. Very impressive place. But it is not recommended for people with kids, specially with baby trolleys. Many places trolleys are not allowed &amp; one has to carry the kids up &amp; down the staircases. Check before you go there."
"rn427510220","Daniel L","Palo Alto, California, United States","32 reviews","Take the guided tour","1","2016-10-13","I wouldn't have know how to see the place, and glad I didn't spend it with my head in a book or trying to decipher a map.",25,"Take the guided tour. I wouldn't have know how to see the place, and glad I didn't spend it with my head in a book or trying to decipher a map."
"rn427087945","KMR16","Minneapolis, Minnesota","148 reviews","Group Tour with a great guide","1","2016-10-11","Start your morning here to enjoy the beauty. A great day enjoying the Palace grounds with so much history. It was worth the special drive to see the Palace.",26,"Group Tour with a great guide. Start your morning here to enjoy the beauty. A great day enjoying the Palace grounds with so much history. It was worth the special drive to see the Palace."
"rn427063112","745seattlescott","Seattle, Washington","15 reviews","""Captivating and Unforgetable""","1","2016-10-11","What a great architectural treasure. It is very unique and memorable.I recommend a guided tour to obtain as much historical perspective as possible for your visit.Of course, be prepared to walk and watch your step as there are many steps and ledges to trip you up.Allow minimum of two hours to experience.Have plenty of room on your camera and don't forget to enjoy this one of a kind, world class attraction!",26,"""Captivating and Unforgetable"". What a great architectural treasure. It is very unique and memorable.I recommend a guided tour to obtain as much historical perspective as possible for your visit.Of course, be prepared to walk and watch your step as there are many steps and ledges to trip you up.Allow minimum of two hours to experience.Have plenty of room on your camera and don't forget to enjoy this one of a kind, world class attraction!"
"rn426786582","irishgirl198","Sudbury, Canada","66 reviews","Indescribable beauty","1","2016-10-10","We could not purchase tickets for Alhambra on line so we asked about a day tour at our hotel in Malaga. The agent was able to purchase tickets for us. We departed around 8 am from our hotel in Malaga. We spent the morning in Granada. We could have followed our tour guide to the old quarter, but we decided to walk around Granada on our own. Granada is a beautiful city with very old, historic buildings, a pedestrianized boulevard, and trendy shops and cafes. We had lunch at an old cafe where the owners did not speak English but we managed. We had wonderful tapas. We boarded our bus and headed off to our Alhambra tour which lasted the better part of the afternoon. We were split into groups when we arrived. Our tour guide had the difficult task of explaining Alhambra to us in English and in French. We had head sets provided to us so that she didn't have to shout. She did an outstanding job. Alhambra is beautiful beyond words. I urge anyone vacationing in Andalucia to visit Alhambra. It is the number one tourist destination, so you should book the tour as soon as you arrive!",26,"Indescribable beauty. We could not purchase tickets for Alhambra on line so we asked about a day tour at our hotel in Malaga. The agent was able to purchase tickets for us. We departed around 8 am from our hotel in Malaga. We spent the morning in Granada. We could have followed our tour guide to the old quarter, but we decided to walk around Granada on our own. Granada is a beautiful city with very old, historic buildings, a pedestrianized boulevard, and trendy shops and cafes. We had lunch at an old cafe where the owners did not speak English but we managed. We had wonderful tapas. We boarded our bus and headed off to our Alhambra tour which lasted the better part of the afternoon. We were split into groups when we arrived. Our tour guide had the difficult task of explaining Alhambra to us in English and in French. We had head sets provided to us so that she didn't have to shout. She did an outstanding job. Alhambra is beautiful beyond words. I urge anyone vacationing in Andalucia to visit Alhambra. It is the number one tourist destination, so you should book the tour as soon as you arrive!"
"rn426689461","wiredsteve","Peebles, United Kingdom","42 reviews","World Class","1","2016-10-10","It's difficult to add to what others have said about the Alhambra, other than you have to see it if you have the chance. So my recent visit worked out well by buying tickets in advance from ""This Is Granada"" got a slot at 13.00 for the Nazries Palace part of the tour, and then spent the rest of the afternoon exploring the rest of the Alhambra.",27,"World Class. It's difficult to add to what others have said about the Alhambra, other than you have to see it if you have the chance. So my recent visit worked out well by buying tickets in advance from ""This Is Granada"" got a slot at 13.00 for the Nazries Palace part of the tour, and then spent the rest of the afternoon exploring the rest of the Alhambra."
"rn426458898","S&JB1180","","51 reviews","Warning - no audio guides available at The Alhambra - indefinitely","1","2016-10-09","October 8 we went to the Alhambra with 8:30 a.m. tickets to find that no audio guides are available to rent, at any entry point, either the ""complete"" edition or the shorter ones. If I understood the explanation, there is a new management company and audio guides will be available ""soon."" Apparently the new management is not yet ready for prime time. At 8:30 a.m. none of the bookstores were open, so we could not buy a guidebook, but we were able to get a map in English when we asked. Without an audio guide or a guidebook we often found it hard to know where we were, since there are few signs. However, we still very much enjoyed our visit.",27,"Warning - no audio guides available at The Alhambra - indefinitely. October 8 we went to the Alhambra with 8:30 a.m. tickets to find that no audio guides are available to rent, at any entry point, either the ""complete"" edition or the shorter ones. If I understood the explanation, there is a new management company and audio guides will be available ""soon."" Apparently the new management is not yet ready for prime time. At 8:30 a.m. none of the bookstores were open, so we could not buy a guidebook, but we were able to get a map in English when we asked. Without an audio guide or a guidebook we often found it hard to know where we were, since there are few signs. However, we still very much enjoyed our visit."
"rn426011514","Sue C","Derby, England, United Kingdom","38 reviews","A muse see if you are in the area","1","2016-10-08","After many weeks of trying to book tickets I was expecting a lot from this attraction and wasn't disappointed. We booked tickets in the UK and picked them up from a ticket machine in town the day before our visit. It all worked we'll and saved us a lot of time on the tour day. Be prepared for lots of walking and uneven surfaces but well worth the visit.",28,"A muse see if you are in the area. After many weeks of trying to book tickets I was expecting a lot from this attraction and wasn't disappointed. We booked tickets in the UK and picked them up from a ticket machine in town the day before our visit. It all worked we'll and saved us a lot of time on the tour day. Be prepared for lots of walking and uneven surfaces but well worth the visit."
