"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","Class"
"b",58,9.75,"u","g","c","v",0.25,"t","f",0,"f","g","00140",0,"-"
"b",293,19,"u","g","ff","ff",0,"t","t",1,"f","g","00094",0,"-"
"a",124,1.5,"u","g","m","v",2,"t","f",0,"f","s","00368",0,"-"
"b",236,0.5,"u","g","m","v",0.25,"t","f",0,"f","s","00288",0,"-"
"a",NA,3.5,"u","g","d","v",3,"t","f",0,"t","g","00300",0,"-"
"b",120,0.625,"u","g","aa","v",0.455,"t","f",0,"t","g","00200",0,"-"
"b",214,4,"u","g","c","bb",5,"t","f",0,"t","s","00280",0,"-"
"b",NA,0.375,"u","g","d","v",0.875,"t","f",0,"t","s","00928",0,"-"
"b",103,2.21,"y","p","aa","v",4,"t","f",0,"f","g","00188",0,"-"
"b",187,4.5,"u","g","aa","v",1,"t","f",0,"t","g","00240",0,"-"
"a",290,1.5,"u","g","j","j",0,"t","f",0,"t","g","00100",27,"-"
"b",335,12.75,"y","p","c","h",5,"t","f",0,"f","g","00112",0,"-"
"b",162,15.5,"u","g","c","v",0.5,"t","f",0,"f","g","00120",0,"-"
"b",NA,5,"y","p","aa","v",8.5,"t","f",0,"f","g","00000",0,"-"
"b",304,1.375,"y","p","c","h",9.46,"t","f",0,"t","g","00200",100,"-"
"b",136,1.5,"y","p","c","v",1.5,"t","f",0,"t","g","00000",225,"-"
"a",134,3.54,"u","g","i","bb",0.5,"t","f",0,"t","g","00171",0,"-"
"b",76,0.625,"y","p","aa","v",0.125,"t","f",0,"f","g","00180",1,"-"
"b",NA,0.5,"u","g","c","bb",0.835,"t","f",0,"t","s","00320",0,"-"
"a",70,11,"y","p","q","v",3,"t","f",0,"t","g","00268",0,"-"
"a",133,1,"u","g","q","v",1,"t","t",2,"t","g","00167",500,"-"
"b",217,1.75,"y","p","c","bb",0.25,"t","f",0,"t","g","00164",400,"-"
"b",200,16.5,"y","p","c","v",4,"t","f",0,"f","g","00080",0,"-"
"b",30,5,"u","g","q","v",0.375,"t","t",2,"f","g","00000",38,"-"
"b",95,12,"u","g","k","v",2.25,"t","t",2,"t","g","00120",5,"-"
"b",126,4,"y","p","i","h",5.75,"t","t",2,"t","g","00075",0,"-"
"b",313,15.5,"u","g","e","z",0,"t","t",20,"f","g","00152",130,"-"
"b",136,1.165,"u","g","k","v",0.5,"t","f",0,"f","s","00280",0,"-"
"a",95,11,"y","p","aa","v",4.5,"t","f",0,"f","g","00120",0,"-"
"b",243,2.25,"y","p","x","h",10,"t","f",0,"t","g","00176",0,"-"
"a",41,0.75,"u","g","c","v",0.795,"t","t",5,"t","g","00140",5,"-"
"b",138,3.5,"u","g","w","v",3.5,"t","t",3,"t","g","00329",0,"-"
"a",90,1.04,"y","p","ff","ff",0.5,"t","t",3,"f","g","00180",147,"-"
"b",91,12.5,"u","g","w","v",0.875,"t","f",0,"t","g","00260",0,"-"
"a",185,0.75,"u","g","k","bb",1,"t","t",3,"t","g","00212",0,"-"
"b",49,1.25,"y","p","c","h",1.375,"t","t",3,"t","g","00140",210,"-"
"a",100,1.125,"u","g","q","v",1.29,"t","t",2,"f","g","00200",0,"-"
"b",219,7,"u","g","q","h",11.5,"t","t",7,"t","g","00300",5,"-"
"b",306,6.5,"u","g","k","v",6.29,"t","t",15,"f","g","00000",11202,"+"
"b",325,7.04,"u","g","m","v",14,"t","t",6,"t","g","00360",1332,"+"
"a",50,10.335,"u","g","cc","h",0.335,"t","t",1,"t","g","00080",50,"+"
"b",237,6.21,"u","g","q","v",0.04,"t","t",1,"f","g","00200",300,"+"
"b",103,12.5,"u","g","cc","v",1.21,"t","t",67,"t","g","00140",258,"+"
"a",92,12.5,"u","g","aa","v",1.5,"t","t",12,"t","g","00120",567,"+"
"a",264,6.665,"u","g","q","v",7.375,"t","t",3,"t","g","00000",0,"+"
"a",82,9,"u","g","q","v",8.5,"t","t",5,"t","g","00120",0,"+"
"b",197,5,"u","g","x","h",7.5,"t","t",6,"t","g","00000",1000,"+"
"b",280,2.5,"u","g","m","bb",2.5,"t","t",12,"t","g","00410",2510,"+"
"b",73,11,"u","g","q","v",2.5,"t","t",7,"t","g","00100",809,"+"
"b",191,4.25,"u","g","i","bb",3.25,"t","t",2,"f","g","00274",610,"+"
"a",132,3.5,"u","g","w","v",0.835,"t","f",0,"f","s","00280",0,"+"
"b",341,5.5,"u","g","e","z",13,"t","t",1,"t","g","00000",0,"+"
"b",47,1.835,"u","g","c","v",2.25,"t","t",1,"f","g","00100",150,"+"
"a",279,8,"u","g","e","bb",6.5,"t","t",6,"f","g","00375",51100,"+"
"b",207,5,"u","g","c","bb",2.5,"t","t",6,"f","g","00000",367,"+"
"b",174,5.5,"u","g","q","h",5.5,"t","t",12,"t","g","00408",1000,"+"
"b",288,6.5,"u","g","q","h",6,"t","f",0,"t","g","00350",0,"+"
"b",237,0.54,"y","p","aa","v",0.5,"t","t",3,"f","g","00200",1000,"+"
"b",183,2.75,"u","g","m","v",4.25,"t","t",6,"f","g","00204",0,"+"
"a",32,9.5,"u","g","w","v",1.625,"t","t",6,"t","g","00040",600,"+"
"a",117,13.5,"u","g","q","h",5,"t","t",2,"f","g","00000",5000,"+"
"a",160,3.75,"u","g","cc","h",0.625,"t","t",9,"t","g","00181",0,"+"
"a",318,16,"u","g","j","ff",0,"t","t",15,"f","g","00000",247,"+"
"b",259,0.29,"y","p","cc","h",1.75,"t","t",8,"f","g","00100",375,"+"
"b",68,11,"u","g","w","v",2,"t","t",1,"f","g","00080",278,"+"
"b",120,1.665,"u","g","cc","h",5.085,"t","t",9,"f","g","00399",827,"+"
"b",176,2.5,"u","g","cc","h",2.75,"t","t",6,"f","g","00160",2072,"+"
"b",79,1.5,"u","g","q","v",2.375,"t","t",3,"t","g","00000",582,"+"
"a",240,7.54,"y","p","q","h",8,"t","t",14,"f","g","00000",2300,"+"
"a",153,6.5,"u","g","c","bb",4,"t","t",7,"t","g","00000",3065,"+"
"a",307,15,"u","g","c","v",5.5,"t","t",14,"f","g","00000",2200,"+"
"a",274,0.46,"u","g","cc","h",0.415,"t","t",11,"t","g","00440",6,"+"
"a",326,10,"u","g","q","v",4,"t","t",14,"f","g","00000",1602,"+"
"b",215,6.5,"u","g","m","h",4.25,"t","t",12,"t","g","00093",0,"+"
"b",77,2.5,"u","g","c","v",1.085,"t","t",11,"t","g","00060",2184,"+"
"b",175,1.5,"u","g","cc","h",5.5,"t","t",3,"t","g","00000",0,"+"
"a",60,11.5,"y","p","j","j",0,"t","t",11,"t","g","00000",0,"+"
"a",133,3.04,"y","p","x","h",2.54,"t","t",1,"f","g","00070",0,"+"
"a",342,15,"u","g","e","z",0,"t","t",14,"f","g","00000",3376,"+"
"b",127,2,"u","g","k","h",4.165,"t","t",2,"t","g","00181",0,"+"
"b",188,0.08,"y","p","m","bb",0.04,"t","t",1,"t","g","00280",2000,"+"
"b",124,2,"u","g","x","h",1,"t","t",4,"f","g","00140",7544,"+"
"b",263,2,"u","g","m","v",1.75,"t","t",2,"t","g","00000",15,"+"
"b",96,1.71,"u","g","x","v",1.665,"t","t",1,"t","g","00395",20,"+"
"b",168,1.75,"y","p","e","h",0.04,"t","f",0,"t","g","00393",0,"+"
"a",333,16.5,"u","g","q","v",11,"t","f",0,"t","g","00021",10561,"+"
"a",242,10,"u","g","q","h",1.75,"t","f",0,"f","g","00029",837,"+"
"b",36,9.5,"u","g","q","v",1,"t","f",0,"t","g","00060",400,"+"
"a",172,0.54,"u","g","cc","v",0.04,"t","f",0,"f","g","00440",11177,"+"
"b",212,3.25,"u","g","q","h",9,"t","f",0,"t","g","00102",639,"+"
"b",217,1.125,"y","p","d","v",1.5,"f","f",0,"t","g","00431",0,"+"
"a",96,2.54,"y","p","aa","v",0.25,"t","f",0,"t","g","00370",0,"+"
"b",246,0,"u","g","c","bb",15,"t","f",0,"f","g","00000",0,"+"
"b",316,12.5,"u","g","k","h",8,"t","f",0,"t","g","00024",2028,"+"
"a",294,13.585,"u","g","k","h",8.5,"t","f",0,"t","g","00000",0,"+"
"b",72,10.5,"u","g","q","h",1.335,"t","f",0,"f","g","00100",0,"+"
"b",118,1.5,"y","p","w","v",0.375,"t","f",0,"t","g","00260",1065,"+"
"b",95,12.5,"u","g","aa","v",3,"t","f",0,"t","s","00020",0,"+"
"a",108,8.665,"u","g","aa","v",1.415,"t","f",0,"f","g","00160",150,"+"
"a",27,9.25,"u","g","q","v",1.21,"t","t",4,"f","g","00060",540,"+"
"b",44,8.17,"u","g","aa","v",1.96,"t","t",14,"f","g","00060",158,"+"
"b",280,0.29,"u","g","c","bb",15,"t","t",20,"f","g","00000",15000,"+"
"a",55,2.335,"u","g","i","bb",0.5,"t","t",4,"f","s","00080",0,"+"
"a",49,3,"u","g","q","v",0.165,"t","t",3,"f","g","00100",6,"+"
"a",322,19.5,"u","g","c","v",5.5,"t","t",7,"f","g","00000",3000,"+"
"a",69,5.665,"u","g","q","v",2.585,"t","t",7,"f","g","00129",3257,"+"
"b",289,8.5,"u","g","c","h",12.5,"t","t",9,"f","g","00181",1655,"+"
"b",238,6.5,"u","g","aa","bb",3.5,"t","t",1,"f","g","00000",500,"+"
"b",241,5,"u","g","c","v",5,"t","t",7,"f","g","00000",3065,"+"
"a",135,1.04,"u","g","c","v",2.5,"t","t",5,"t","g","00300",1430,"+"
"a",179,4.625,"u","g","q","h",1.625,"t","t",2,"f","g","00000",0,"+"
"b",56,10.5,"u","g","c","v",3,"t","f",0,"t","g","00000",0,"+"
"b",252,0.205,"u","g","i","h",5.125,"t","f",0,"f","g","00400",0,"+"
"b",250,0.96,"u","g","x","v",2.5,"t","f",0,"f","g","00510",600,"+"
"b",72,1.585,"y","p","w","v",3.085,"t","t",6,"f","g","00080",0,"+"
"b",192,4.04,"y","p","i","bb",8.5,"t","t",7,"t","g","00195",0,"+"
"b",130,5.04,"y","p","c","bb",1.5,"t","t",8,"t","g","00144",7,"+"
"b",180,3.165,"y","p","x","v",3.165,"t","t",3,"t","g","00380",0,"+"
"b",284,7.625,"u","g","w","h",15.5,"t","t",12,"f","g","00000",790,"+"
"b",123,2.04,"y","p","aa","v",2,"t","t",3,"t","g","00370",560,"+"
"b",71,10.04,"u","g","x","v",0.04,"t","t",9,"f","g","00060",396,"+"
"a",86,0.5,"u","g","q","h",1.25,"t","t",1,"f","g","00000",678,"+"
"a",246,1,"u","g","i","bb",2.25,"t","f",0,"t","g","00000",300,"+"
"b",93,2.75,"u","g","c","v",2.25,"t","t",6,"f","g",NA,600,"+"
"a",50,10.25,"u","g","q","v",0.71,"t","t",2,"t","g","00049",0,"+"
"b",208,2.125,"y","p","w","v",0.085,"t","t",1,"f","g","00050",1187,"+"
"a",201,12,"u","g","q","h",14,"t","t",8,"f","g","00000",6590,"+"
"a",345,0,NA,NA,NA,NA,0,"f","f",0,"f","p",NA,0,"+"
"b",135,9.335,"u","g","q","h",5.665,"t","t",6,"f","g","00381",168,"+"
"b",199,2.5,"u","g","k","v",4.5,"t","t",7,"f","g","00150",1270,"+"
"b",234,4.25,"u","g","c","bb",6.5,"t","t",16,"f","g","00117",1210,"+"
"b",232,5.875,"u","g","cc","h",10,"t","t",14,"t","g","00399",0,"+"
"b",88,6.625,"y","p","d","v",5.5,"t","f",0,"t","s","00100",0,"+"
"b",332,14.5,"u","g","ff","ff",18,"t","t",15,"t","g","00000",1000,"+"
"b",77,11.5,"u","g","i","v",3.5,"t","t",9,"f","g","00056",742,"+"
"b",114,2.71,"y","p","cc","v",5.25,"t","t",1,"f","g","00211",0,"+"
"b",284,3.5,"u","g","aa","v",3.5,"t","f",0,"f","s","00230",0,"+"
"b",245,4.04,"u","g","cc","h",7,"t","t",8,"f","g","00320",0,"+"
"b",315,11.5,"u","g","ff","ff",5,"t","t",5,"f","g","00000",8851,"+"
"b",309,9.625,"u","g","e","v",8.665,"t","t",5,"f","g","00000",0,"+"
"a",33,9.25,"y","p","c","v",1,"t","t",4,"t","g","00080",500,"+"
"a",295,12.54,"u","g","aa","v",2.29,"t","t",3,"t","g","00156",0,"+"
"b",340,11,"u","g","e","z",20,"t","t",7,"t","g","00022",0,"+"
"a",18,9,"u","g","aa","v",1.375,"t","f",0,"t","g","00000",0,"+"
"a",32,9.54,"u","g","aa","v",0.085,"t","f",0,"f","g","00100",0,"+"
"a",219,5.5,"u","g","q","v",0.125,"t","f",0,"t","g","00228",0,"+"
"b",79,4,"u","g","c","bb",0.25,"t","f",0,"t","g","00160",0,"+"
"b",23,5.5,"u","g","k","v",0.5,"t","f",0,"f","g","00080",0,"+"
"a",70,8.46,"y","p","x","v",2.46,"f","f",0,"f","g","00164",0,"+"
"b",40,0.375,"u","g","q","v",2,"t","t",2,"t","g","00080",0,"+"
"b",65,11,"u","g","cc","v",0.665,"t","f",0,"f","g","00100",0,"+"
"b",97,3.5,"u","g","cc","v",0.625,"t","t",7,"f","g","00000",7059,"+"
"a",279,3,"u","g","x","v",13.875,"t","t",2,"t","g","00519",1704,"+"
"b",182,1.75,"u","g","x","h",4.5,"t","t",4,"t","g","00253",857,"+"
"b",124,13.75,"u","g","w","v",5.75,"t","f",0,"t","g","00487",500,"+"
"a",327,21,"u","g","i","bb",10,"t","t",13,"f","g","00000",6700,"+"
"a",49,1.835,"u","g","q","v",2.085,"t","t",5,"f","g","00220",2503,"+"
"b",109,0.25,"u","g","i","bb",0,"t","f",0,"t","g","00000",0,"+"
"b",56,7.5,"u","g","aa","v",1.415,"t","t",1,"f","g","00080",9800,"+"
"b",258,4.625,"u","g","q","v",4.58,"t","f",0,"f","s","00000",0,"+"
"b",220,10.125,"u","g","x","v",2.5,"t","t",6,"f","g","00520",196,"+"
"b",48,10,"y","p","c","v",2.5,"t","f",0,"f","s","00040",0,"+"
"b",285,25.085,"u","g","w","v",1.75,"t","t",3,"f","g","00120",14,"+"
"b",131,5,"u","g","w","v",11,"t","f",0,"t","g","00070",0,"+"
"a",31,7.5,"u","g","q","v",2.71,"t","t",5,"f","g",NA,26726,"+"
"b",28,2,"u","g","i","v",1.5,"t","t",2,"f","g","00120",300,"+"
"b",180,3.04,"y","p","c","h",2.04,"t","t",1,"t","g","00180",18027,"+"
"b",268,8.5,"u","g","cc","h",14,"t","t",1,"t","g","00088",2000,"+"
"a",40,0.21,"u","g","q","h",0.29,"t","t",11,"f","g","00080",99,"+"
NA,90,12.75,"u","g","c","bb",4.75,"t","t",2,"f","g","00073",444,"+"
"b",62,11,"u","g","x","v",0.29,"t","t",6,"f","g","00121",0,"+"
"b",239,21.5,"u","g","e","z",20,"t","t",11,"f","g","00000",1200,"+"
"b",247,5,"u","g","q","h",5,"t","t",6,"t","g","00470",0,"+"
"a",20,11,"u","g","x","h",1,"t","t",11,"f","g","00000",3000,"+"
"b",78,11.125,"u","g","x","h",0.46,"t","t",1,"f","g","00100",0,"+"
"b",NA,0.625,"u","g","k","v",0.25,"f","f",0,"f","g","00380",2010,"-"
"b",24,10.25,"u","g","c","h",1.085,"f","f",0,"f","g","00320",13,"-"
"b",42,11.045,"u","g","c","v",2,"f","f",0,"t","g","00136",0,"-"
"b",42,0,"u","g","d","v",0.5,"f","f",0,"f","g","00144",0,"-"
"a",50,9.54,"u","g","i","v",0.04,"f","f",0,"f","g","00200",1000,"-"
"a",90,1.75,"y","p","c","v",0.165,"f","f",0,"f","g","00132",0,"-"
"b",175,2.335,"u","g","d","h",5.75,"f","f",0,"t","g","00292",0,"-"
"a",303,0,"y","p","ff","ff",0,"f","f",0,"f","g","00000",0,"-"
"a",284,1.335,"u","g","i","o",0.335,"f","f",0,"f","g","00000",120,"-"
"a",47,10.5,"y","p","x","h",0,"f","f",0,"t","g","00154",32,"-"
"b",297,0.585,"u","g","ff","ff",0,"f","f",0,"f","g","00145",0,"-"
"b",13,0.085,"y","p","c","v",0.04,"f","f",0,"f","g","00140",722,"-"
"b",26,1.21,"y","p","e","dd",0,"f","f",0,"f","g","00100",0,"-"
"a",168,6,"u","g","d","v",1.25,"f","f",0,"f","g","00272",0,"-"
"b",331,1.54,"u","g","q","v",0.125,"t","f",0,"t","g","00260",0,"+"
"b",22,0.165,"u","g","q","n",0.21,"f","f",0,"f","g","00200",40,"+"
"b",218,0,NA,NA,NA,NA,0,"f","f",0,"f","p",NA,0,"+"
"b",172,2.5,"u","g","c","v",1.25,"f","f",0,"t","g","00280",0,"-"
"b",23,6.75,"y","p","m","v",0.04,"f","f",0,"f","g","00140",0,"-"
"b",221,10.125,"y","p","k","v",0.125,"f","f",0,"f","g","00160",0,"-"
"b",155,2.5,"u","g","cc","h",2.25,"f","f",0,"t","s","00340",0,"-"
"b",29,5.71,"u","g","d","v",0.54,"f","f",0,"f","g","00120",0,"-"
"a",35,5.415,"u","g","i","h",0.29,"f","f",0,"f","g","00080",484,"-"
"a",24,10,"y","p","q","h",0.165,"f","f",0,"f","g","00340",0,"-"
"b",91,13.5,"y","p","ff","ff",0,"f","f",0,"f","g",NA,0,"-"
"b",9,0.835,"u","g","m","v",0.085,"t","f",0,"f","s","00200",0,"-"
"b",54,0.875,"y","p","c","h",0.25,"f","f",0,"f","g","00280",204,"-"
"b",85,0.585,"y","p","cc","h",0.125,"f","f",0,"f","g","00240",1,"-"
"b",19,4.46,"u","g","c","v",0.25,"f","f",0,"f","s","00080",0,"-"
"a",11,1.25,"u","g","q","v",0.25,"f","t",1,"f","g","00108",98,"-"
"b",79,12.625,"u","g","c","v",0.125,"f","t",2,"f","g","00000",5552,"-"
"b",18,10,"u","g","w","h",0.165,"f","t",1,"f","g","00120",1,"-"
"a",NA,1.5,"u","g","ff","ff",0,"f","t",2,"t","g","00200",105,"-"
"b",141,0.58,"u","g","w","v",0.29,"f","t",1,"f","g","00340",2803,"-"
"b",32,0.415,"y","p","c","v",0.165,"f","t",1,"f","g","00200",1,"-"
"a",61,1.75,"y","p","j","j",0,"f","f",0,"f","g","00160",0,"-"
"b",76,0.75,"u","g","m","v",0.5,"f","f",0,"t","s","00320",0,"-"
"a",25,10,"u","g","w","v",1,"f","t",1,"f","g","00120",1,"-"
"b",100,0.54,"u","g","w","v",0.165,"f","t",1,"f","g","00272",444,"-"
"b",203,2.415,"u","g","w","v",0.125,"f","t",2,"f","g","00220",1,"-"
"a",7,0.335,"u","g","ff","ff",0,"f","t",1,"f","g","00160",126,"-"
"a",167,3.125,"u","g","ff","ff",3.04,"f","t",2,"t","g","00200",4,"-"
"b",343,9,"u","g","ff","ff",4,"f","t",1,"f","g","00070",6,"-"
"b",177,2.5,"u","g","aa","v",1.75,"f","t",2,"t","g","00720",0,"-"
"b",10,2.75,"u","g","aa","v",0.665,"f","t",1,"f","g","00080",21,"-"
"b",66,12.125,"u","g","c","v",3.335,"f","t",2,"t","g","00180",173,"-"
"a",324,2,"u","g","ff","ff",6.5,"f","t",1,"f","g","00000",10,"-"
"b",25,0.165,"u","g","d","v",0.25,"f","f",0,"t","s","00280",0,"-"
"b",81,1,"u","g","c","v",0.5,"f","f",0,"t","s","00280",0,"-"
"a",5,2.875,"u","g","q","v",0.085,"f","f",0,"f","g","00120",0,"-"
"a",92,13.665,"u","g","q","h",1.5,"f","f",0,"f","g","00280",1,"-"
"b",289,26.335,"y","p","ff","ff",0,"t","f",0,"t","g","00000",0,"-"
"b",82,2.75,"u","g","ff","ff",4.5,"f","f",0,"f","g","00160",25,"-"
"b",29,10.29,"u","g","ff","ff",0.415,"f","f",0,"f","g","00080",0,"-"
"b",125,1.29,"u","g","k","h",0.25,"f","f",0,"t","s","00140",0,"-"
"a",165,3,"y","p","j","j",0,"f","f",0,"f","g","00160",20,"-"
"a",93,4.5,"u","g","w","v",1,"f","f",0,"t","g","00360",6,"-"
"b",34,1.75,"y","p","c","v",2.335,"f","f",0,"t","g","00112",6,"-"
"a",10,0.21,"u","g","aa","v",0.125,"f","f",0,"f","g","00200",1,"-"
"a",29,10,"u","g","d","v",0.415,"f","f",0,"f","g","00080",42,"-"
"b",9,0,"y","p","aa","v",0.25,"f","f",0,"f","g","00060",0,"-"
"b",76,0.75,"u","g","m","v",0.5,"t","f",0,"t","s","00320",0,"-"
"b",54,0.25,"y","p","c","h",0.25,"f","f",0,"f","g","00280",204,"-"
"b",17,22,"l","gg","ff","o",0,"f","f",0,"t","p","00450",100000,"+"
"b",35,0,"y","p","m","bb",0,"f","f",0,"t","s","00500",1,"+"
"b",213,0.125,"y","p","c","v",1.5,"f","f",0,"t","g","00232",113,"+"
"b",55,1.5,"u","g","w","v",1.5,"f","f",0,"f","g","00150",8,"+"
"a",23,0.375,"l","gg","cc","ff",10,"f","f",0,"t","s","00300",0,"+"
"a",184,0.375,"u","g","cc","v",0.375,"f","f",0,"f","g","00300",44,"+"
"b",288,0.205,"y","p","k","v",0.25,"t","t",11,"f","g","00380",2732,"+"
"b",184,1.25,"u","g","w","v",1.165,"f","f",0,"f","g","00120",0,"-"
