"Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Class","MSRP"
"BMW","4 Series Gran Coupe",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",33,23,"1",43950
"BMW","4 Series",2015,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",2,"Luxury","Midsize","Convertible",33,21,"1",50750
"BMW","4 Series",2015,"premium unleaded (required)",300,6,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Midsize","Convertible",31,20,"1",54900
"BMW","4 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",2,"Luxury","Midsize","Coupe",34,22,"1",43850
"Mercedes-Benz","400-Class",1993,"regular unleaded",275,8,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",22,16,"0",2278
"Mercedes-Benz","420-Class",1991,"regular unleaded",201,8,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","Sedan",17,14,"0",2186
"Ferrari","456M",2003,"premium unleaded (required)",442,12,"MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",15,9,"1",224585
"Ferrari","458 Italia",2013,"premium unleaded (required)",562,8,"AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Convertible",17,13,"1",257412
"Alfa Romeo","4C",2015,"premium unleaded (required)",237,4,"AUTOMATED_MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",34,24,"0",68400
"Alfa Romeo","4C",2016,"premium unleaded (required)",237,4,"AUTOMATED_MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",34,24,"0",55900
"Toyota","4Runner",2016,"regular unleaded",270,6,"AUTOMATIC","rear wheel drive",4,"N/A","Midsize","4dr SUV",22,17,"1",36690
"Toyota","4Runner",2016,"regular unleaded",270,6,"AUTOMATIC","four wheel drive",4,"N/A","Midsize","4dr SUV",21,17,"1",44360
"Toyota","4Runner",2016,"regular unleaded",270,6,"AUTOMATIC","rear wheel drive",4,"N/A","Midsize","4dr SUV",22,17,"1",42325
"Toyota","4Runner",2016,"regular unleaded",270,6,"AUTOMATIC","rear wheel drive",4,"N/A","Midsize","4dr SUV",22,17,"1",34010
"BMW","5 Series",2015,"premium unleaded (required)",302,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Large","Sedan",29,20,"1",57900
"BMW","5 Series",2015,"premium unleaded (required)",241,4,"AUTOMATIC","all wheel drive",4,"Luxury","Large","Sedan",33,22,"1",52250
"BMW","5 Series",2016,"premium unleaded (required)",302,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Large","Sedan",29,20,"1",58150
"BMW","5 Series",2016,"premium unleaded (required)",302,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Large","Sedan",31,20,"1",55850
"BMW","5 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","Sedan",34,23,"1",50200
"FIAT","500",2015,"premium unleaded (recommended)",135,4,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",34,28,"0",19700
"FIAT","500",2015,"premium unleaded (recommended)",101,4,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",40,31,"0",17495
"FIAT","500",2015,"premium unleaded (recommended)",101,4,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",40,31,"0",17700
"FIAT","500",2015,"premium unleaded (recommended)",101,4,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",40,31,"0",16845
"FIAT","500",2016,"premium unleaded (recommended)",101,4,"MANUAL","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",40,31,"0",21295
"FIAT","500",2016,"premium unleaded (recommended)",101,4,"MANUAL","front wheel drive",2,"N/A","Compact","Convertible",40,31,"0",21395
"FIAT","500",2017,"premium unleaded (recommended)",160,4,"MANUAL","front wheel drive",2,"Factory Tuner,Performance","Compact","Convertible",33,28,"0",21490
"FIAT","500",2017,"premium unleaded (recommended)",101,4,"AUTOMATIC","front wheel drive",2,"Hatchback","Compact","2dr Hatchback",33,27,"0",15990
"FIAT","500L",2016,"premium unleaded (recommended)",160,4,"MANUAL","front wheel drive",4,"N/A","Compact","Wagon",33,25,"0",21880
"FIAT","500L",2016,"premium unleaded (recommended)",160,4,"MANUAL","front wheel drive",4,"N/A","Compact","Wagon",33,25,"0",23395
"FIAT","500L",2017,"premium unleaded (recommended)",160,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Wagon",30,22,"0",20995
"FIAT","500X",2016,"regular unleaded",180,4,"AUTOMATIC","all wheel drive",4,"Crossover","Compact","4dr SUV",30,21,"0",24635
"FIAT","500X",2016,"regular unleaded",180,4,"AUTOMATIC","front wheel drive",4,"Crossover","Compact","4dr SUV",31,22,"0",25135
"FIAT","500X",2016,"regular unleaded",180,4,"AUTOMATIC","front wheel drive",4,"Crossover","Compact","4dr SUV",31,22,"0",22735
"FIAT","500X",2016,"premium unleaded (recommended)",160,4,"MANUAL","front wheel drive",4,"Crossover","Compact","4dr SUV",34,25,"0",20000
"FIAT","500X",2017,"regular unleaded",180,4,"AUTOMATIC","all wheel drive",4,"Crossover","Compact","4dr SUV",29,21,"0",27035
"FIAT","500X",2017,"premium unleaded (recommended)",160,4,"MANUAL","front wheel drive",4,"Crossover","Compact","4dr SUV",33,25,"0",19995
"Mercedes-Benz","560-Class",1990,"regular unleaded",238,8,"AUTOMATIC","rear wheel drive",4,"Luxury","Large","Sedan",16,12,"0",2170
"Mercedes-Benz","560-Class",1991,"regular unleaded",238,8,"AUTOMATIC","rear wheel drive",2,"Luxury","Large","Coupe",16,12,"0",2443
"Ferrari","575M",2002,"premium unleaded (required)",515,12,"MANUAL","rear wheel drive",2,"Exotic,High-Performance","Compact","Coupe",15,9,"1",214670
"Maybach","57",2010,"premium unleaded (required)",631,12,"AUTOMATIC","rear wheel drive",4,"Exotic,Luxury,High-Performance","Large","Sedan",16,10,"0",455500
"Ferrari","599",2009,"premium unleaded (required)",611,12,"AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,High-Performance","Midsize","Coupe",15,11,"1",320580
"Ferrari","599",2009,"premium unleaded (required)",611,12,"MANUAL","rear wheel drive",2,"Exotic,High-Performance","Midsize","Coupe",15,11,"1",310543
"Ferrari","599",2011,"premium unleaded (required)",661,12,"AUTOMATED_MANUAL","rear wheel drive",2,"Exotic,Factory Tuner,High-Performance","Midsize","Coupe",15,11,"1",410000
"Mazda","5",2013,"regular unleaded",157,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Passenger Minivan",28,22,"0",24470
"Mazda","5",2013,"regular unleaded",157,4,"MANUAL","front wheel drive",4,"N/A","Compact","Passenger Minivan",28,21,"0",19940
"Mazda","5",2014,"regular unleaded",157,4,"MANUAL","front wheel drive",4,"N/A","Compact","Passenger Minivan",28,21,"0",20140
"Mazda","5",2014,"regular unleaded",157,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Passenger Minivan",28,22,"0",21140
"Mazda","5",2015,"regular unleaded",157,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Passenger Minivan",28,21,"0",22370
"Mazda","5",2015,"regular unleaded",157,4,"AUTOMATIC","front wheel drive",4,"N/A","Compact","Passenger Minivan",28,21,"0",21240
"BMW","6 Series Gran Coupe",2015,"premium unleaded (required)",445,8,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Large","Sedan",24,16,"1",92600
"BMW","6 Series Gran Coupe",2016,"premium unleaded (required)",315,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Large","Sedan",31,20,"1",79500
"BMW","6 Series",2015,"premium unleaded (required)",445,8,"AUTOMATIC","all wheel drive",2,"Luxury,High-Performance","Midsize","Convertible",24,16,"1",97900
"BMW","6 Series",2016,"premium unleaded (required)",445,8,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Midsize","Coupe",25,17,"1",88700
"Pontiac","6000",1990,"regular unleaded",110,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",29,20,"0",2000
"Pontiac","6000",1991,"regular unleaded",140,6,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",28,17,"0",2000
"Maybach","62",2010,"premium unleaded (required)",543,12,"AUTOMATIC","rear wheel drive",4,"Exotic,Luxury","Large","Sedan",16,10,"0",417000
"Maybach","62",2012,"premium unleaded (required)",620,12,"AUTOMATIC","rear wheel drive",4,"Exotic,Luxury,Performance","Large","Sedan",16,10,"0",470350
"Mazda","6",2016,"regular unleaded",184,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",38,26,"0",24995
"Mazda","6",2016,"regular unleaded",184,4,"MANUAL","front wheel drive",4,"N/A","Midsize","Sedan",37,25,"0",23945
"BMW","7 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Large","Sedan",29,21,"1",81300
"BMW","7 Series",2016,"premium unleaded (required)",445,8,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Large","Sedan",25,16,"1",97400
"Volvo","740",1990,"regular unleaded",114,4,"MANUAL","rear wheel drive",4,"Luxury","Midsize","Wagon",26,19,"0",2000
"Volvo","740",1991,"regular unleaded",162,4,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",20,17,"0",2000
"Volvo","760",1990,"regular unleaded",162,4,"AUTOMATIC","rear wheel drive",4,"Luxury","Midsize","Sedan",20,16,"0",2000
"Volvo","780",1990,"regular unleaded",144,6,"AUTOMATIC","rear wheel drive",2,"Luxury","Midsize","Coupe",19,15,"0",2000
"BMW","8 Series",1995,"regular unleaded",372,12,"MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,Performance","Midsize","Coupe",18,10,"1",8488
"Volvo","850",1995,"regular unleaded",168,5,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",26,18,"0",2000
"Volvo","850",1996,"regular unleaded",168,5,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",26,18,"0",2000
"Volvo","850",1996,"regular unleaded",222,5,"AUTOMATIC","front wheel drive",4,"Luxury,Performance","Midsize","Wagon",24,17,"0",2000
"Volvo","850",1997,"regular unleaded",240,5,"AUTOMATIC","front wheel drive",4,"Factory Tuner,Luxury,Performance","Midsize","Wagon",24,17,"0",2091
"Saab","9-2X",2006,"premium unleaded (required)",230,4,"MANUAL","all wheel drive",4,"Luxury,Performance","Compact","Wagon",25,18,"0",26950
"Saab","9-3 Griffin",2012,"flex-fuel (premium unleaded recommended/E85)",220,4,"AUTOMATIC","front wheel drive",2,"Flex Fuel,Luxury","Compact","Convertible",28,18,"0",44080
"Saab","9-3 Griffin",2012,"flex-fuel (premium unleaded recommended/E85)",220,4,"AUTOMATIC","front wheel drive",2,"Flex Fuel,Luxury","Compact","Convertible",28,18,"0",40840
"Saab","9-3 Griffin",2012,"premium unleaded (recommended)",220,4,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",30,20,"0",32395
"Saab","9-3 Griffin",2012,"premium unleaded (recommended)",220,4,"MANUAL","all wheel drive",4,"Luxury","Compact","Wagon",30,20,"0",34975
"Saab","9-3",2009,"premium unleaded (recommended)",210,4,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",29,19,"0",30360
"Saab","9-3",2009,"premium unleaded (recommended)",210,4,"MANUAL","front wheel drive",2,"Luxury","Compact","Convertible",27,19,"0",42130
"Saab","9-3",2009,"premium unleaded (recommended)",210,4,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",28,19,"0",34150
"Saab","9-3",2009,"premium unleaded (recommended)",210,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",27,17,"0",36395
"Saab","9-3",2009,"premium unleaded (recommended)",210,4,"AUTOMATIC","front wheel drive",2,"Luxury","Compact","Convertible",27,19,"0",47345
"Saab","9-3",2010,"premium unleaded (recommended)",207,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",27,17,"0",38115
"Saab","9-3",2011,"premium unleaded (recommended)",210,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",27,17,"0",38115
"Saab","9-3",2011,"premium unleaded (recommended)",210,4,"MANUAL","front wheel drive",2,"Luxury","Compact","Convertible",29,20,"0",39990
"Saab","9-4X",2011,"premium unleaded (required)",265,6,"AUTOMATIC","all wheel drive",4,"Crossover,Luxury","Midsize","4dr SUV",23,17,"0",35875
"Saab","9-5",2009,"premium unleaded (recommended)",260,4,"AUTOMATIC","front wheel drive",4,"Luxury,Performance","Midsize","Wagon",27,17,"0",43270
"Saab","9-5",2009,"premium unleaded (recommended)",260,4,"AUTOMATIC","front wheel drive",4,"Luxury,Performance","Midsize","Wagon",27,17,"0",39650
"Saab","9-5",2009,"premium unleaded (recommended)",260,4,"AUTOMATIC","front wheel drive",4,"Luxury,Performance","Midsize","Wagon",27,17,"0",40765
"Saab","9-5",2010,"premium unleaded (recommended)",300,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Large","Sedan",27,16,"0",49165
"Saab","900",1996,"regular unleaded",185,4,"MANUAL","front wheel drive",2,"Hatchback,Luxury,Performance","Compact","2dr Hatchback",26,18,"0",2000
"Saab","900",1997,"regular unleaded",170,6,"AUTOMATIC","front wheel drive",4,"Hatchback,Luxury","Compact","4dr Hatchback",23,17,"0",2000
"Saab","900",1997,"regular unleaded",185,4,"MANUAL","front wheel drive",2,"Luxury,Performance","Compact","Convertible",25,18,"0",2115
"Audi","90",1993,"regular unleaded",172,6,"MANUAL","all wheel drive",4,"Luxury","Compact","Sedan",20,15,"1",2000
"Audi","90",1994,"regular unleaded",172,6,"MANUAL","all wheel drive",4,"Luxury","Compact","Sedan",22,17,"1",2000
"Porsche","911",2015,"premium unleaded (required)",520,6,"AUTOMATED_MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Convertible",24,17,"1",163000
"Porsche","911",2015,"premium unleaded (required)",430,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",26,18,"1",114200
"Porsche","911",2016,"premium unleaded (required)",430,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Convertible",25,18,"1",126100
"Porsche","911",2016,"premium unleaded (required)",560,6,"AUTOMATED_MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Convertible",24,17,"1",194600
"Porsche","911",2016,"premium unleaded (required)",400,6,"MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",26,18,"1",117530
"Porsche","911",2016,"premium unleaded (required)",400,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Convertible",27,19,"1",110800
"Porsche","911",2017,"premium unleaded (required)",370,6,"MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,19,"1",108600
"Porsche","911",2017,"premium unleaded (required)",580,6,"AUTOMATED_MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Convertible",28,20,"1",200400
"Porsche","911",2017,"premium unleaded (required)",420,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,"1",103400
"Porsche","911",2017,"premium unleaded (required)",370,6,"MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",29,20,"1",96300
"Porsche","911",2017,"premium unleaded (required)",580,6,"AUTOMATED_MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,"1",188100
"Porsche","911",2017,"premium unleaded (required)",420,6,"MANUAL","all wheel drive",2,"Luxury,High-Performance","Compact","Convertible",28,20,"1",122600
